ID,SUBS_ACTIVATION_DATE_KEY,REVENUE_TOTAL,REVENUE_VOICE,REVENUE_DATA,TRAFFIC_DATA,MARKET_KEY,MOU
1,12/2/2011 0:00,0,0,0,0,KHR,0.6
2,12/27/2012 0:00,1931.732,503.161,0,0,KHR,495.283
3,11/21/2010 0:00,549.937,315.117,0,0,PLT,471.883
4,2/15/2012 0:00,683.527,652.777,0,0,SUM,666.75
5,8/1/2006 0:00,666.732,357.911,44.643,0,PLT,112.383
6,6/13/2015 0:00,186.205,186.205,0,0,KHM,94.417
7,9/11/2015 0:00,159.643,39.375,120.268,6.678,KIR,3.817
8,8/13/2013 0:00,0,0,0,0,NIK,343.316
9,7/24/2015 0:00,446.393,0,133.893,2264.9,KIR,552.7
10,2/26/2013 0:00,192.491,179.098,0,0,DON,72.25
11,3/12/2012 0:00,2470.134,1801.92,535.714,0,DON,2430.2
12,10/7/2006 0:00,0,0,0,0,NIK,4.65
13,7/16/2011 0:00,968.161,10.312,0.527,7568.458,KHR,769.6
14,1/11/2015 0:00,28.634,28.634,0,0,KHR,3.3
15,5/15/2015 0:00,557.134,0,557.134,65.792,KHR,1.317
16,9/24/2015 0:00,23.58,23.58,0,0,ODE,2.4
17,8/17/2014 0:00,38.688,3.866,34.821,1.817,KHR,26.766
18,1/29/2007 0:00,202.866,202.866,0,0,CHG,46.417
19,7/20/2014 0:00,1203.884,1203.884,0,0,ODE,849.65
20,6/28/2014 0:00,1430.571,1.964,0.036,194.275,KHR,129.666
21,8/26/2015 0:00,9.777,9.777,0,0,KHR,28.267
22,9/8/2015 0:00,598.178,123.92,474.259,1352.178,KHR,152.184
23,9/5/2009 0:00,26.438,26.438,0,0,PLT,6
24,9/26/2009 0:00,1072.741,5.607,4.634,136.603,CHG,742.133
25,7/14/2010 0:00,0,0,0,0,KHM,62.6
26,11/13/2013 0:00,0,0,0,0,KHR,1.834
27,8/18/2006 0:00,11.714,1,0,0,PLT,250.217
28,9/6/2006 0:00,31.054,4.768,0,0,ZKP,107.334
29,8/12/2006 0:00,611.625,209.839,0,0,ZKP,76.6
30,10/11/2006 0:00,87.598,56.348,0,0,ZKP,24.967
31,9/2/2006 0:00,634.562,634.562,0,0,ZKP,184.066
32,12/18/2006 0:00,1109.367,12.839,1096.528,1423.801,ZKP,7.867
33,8/19/2015 0:00,8.929,0,8.929,67.111,KHR,0
34,12/27/2006 0:00,1064.124,1064.124,0,0,KHR,224.8
35,4/28/2007 0:00,1110.5,0,0,95.987,KHR,273.3
36,5/7/2014 0:00,1068.75,0,0,5457.354,KHR,568.433
37,9/10/2013 0:00,368.286,368.286,0,0,CHG,51.517
38,8/5/2015 0:00,15.518,15.393,0.125,629.771,ZKP,5.3
39,3/11/2014 0:00,1193.268,601.562,435.455,128.331,NIK,435.117
40,9/19/2010 0:00,819.045,118.152,207.143,0,CHG,534.133
41,4/7/2010 0:00,74.473,71.054,3.42,0.189,CHG,19
42,3/12/2010 0:00,739.954,589.061,0,0,KIR,202.3
43,12/24/2009 0:00,821.545,821.545,0,0,IVF,367.283
44,8/20/2015 0:00,1573.589,1200.098,50.277,2.845,KIR,493.45
45,10/15/2006 0:00,0,0,0,0,PLT,53.884
46,7/25/2015 0:00,525.259,519.009,0,0,DNE,142.483
47,2/6/2007 0:00,1023.473,448.473,526.786,478.153,KIR,155.4
48,9/2/2014 0:00,350.893,0,0,0,KIR,31.883
49,10/18/2006 0:00,0,0,0,0,KIR,109.267
50,10/16/2006 0:00,1068.75,0,0,7113.229,CHG,751.917
51,10/9/2006 0:00,742.215,84.071,0,0,PLT,91.949
52,1/5/2010 0:00,558.893,546.393,0,0,CHG,797.234
53,5/6/2014 0:00,799.035,346.357,452.678,177.4,KHR,39.017
54,2/10/2006 0:00,789.196,262.411,526.786,223.95,ZKP,161.034
55,10/4/2006 0:00,105.947,53.375,0,0,KHR,163.05
56,11/17/2014 0:00,260.937,260.937,0,0,KHR,76.734
57,9/6/2011 0:00,106.616,94.116,0,0,ZKP,34.667
58,1/6/2014 0:00,893.714,3.116,6.67,4041.188,DNE,816.117
59,4/1/2013 0:00,1591.911,1406.732,142.321,398.331,PLT,356.4
60,8/2/2006 0:00,814.678,766.464,0,0,KHR,167.866
61,12/29/2006 0:00,651.955,241.625,9.438,12.534,IVF,78.567
62,5/8/2015 0:00,0,0,0,0,KHR,94.533
